"source","target","weight","type"
"Gómez-Restrepo, Javier","Rojas-Bohórquez, Juan Sebastián",1,"Undirected"
"Morales-Zurita, Leonardo Fabio","Medina-Durango, Carlos Alberto",1,"Undirected"
"Gaviria, Alejandro","Medina-Durango, Carlos Alberto",1,"Undirected"
"Gaviria, Alejandro","Tamayo-Castaño, Jorge Andrés",1,"Undirected"
"Medina-Durango, Carlos Alberto","Tamayo-Castaño, Jorge Andrés",1,"Undirected"
"Lozano-Espitia, Luis Ignacio","Rodríguez, Karen",1,"Undirected"
"Cárdenas-Hurtado, Camilo Alberto","Garavito-Acosta, Aarón Levi",1,"Undirected"
"Cárdenas-Hurtado, Camilo Alberto","Toro-Córdoba, Jorge Hernán",1,"Undirected"
"Garavito-Acosta, Aarón Levi","Toro-Córdoba, Jorge Hernán",1,"Undirected"
"León-Rincón, Carlos Eduardo","Pérez-Villalobos, Jhonatan",1,"Undirected"
"Rincón-Castro, Hernán","Berthel, Jenny",1,"Undirected"
"Rincón-Castro, Hernán","Gómez, Miguel Ángel",1,"Undirected"
"Berthel, Jenny","Gómez, Miguel Ángel",1,"Undirected"
"Pulido-González, Carolina","Montes-Uribe, Enrique",1,"Undirected"
"Pulido-González, Carolina","Beltrán-R., Germán",1,"Undirected"
"Montes-Uribe, Enrique","Beltrán-R., Germán",1,"Undirected"
"Castro-Pantoja, John David","Gomez-Gonzalez, Jose Eduardo",1,"Undirected"
"Castro-Pantoja, John David","Mora-Arbelaez, Tatiana",1,"Undirected"
"Castro-Pantoja, John David","Rodriguez-Novoa, Daniela",1,"Undirected"
"Castro-Pantoja, John David","Díaz-Barreto, Laura Catalina",1,"Undirected"
"Gomez-Gonzalez, Jose Eduardo","Mora-Arbelaez, Tatiana",1,"Undirected"
"Gomez-Gonzalez, Jose Eduardo","Rodriguez-Novoa, Daniela",1,"Undirected"
"Gomez-Gonzalez, Jose Eduardo","Díaz-Barreto, Laura Catalina",1,"Undirected"
"Mora-Arbelaez, Tatiana","Rodriguez-Novoa, Daniela",1,"Undirected"
"Mora-Arbelaez, Tatiana","Díaz-Barreto, Laura Catalina",1,"Undirected"
"Rodriguez-Novoa, Daniela","Díaz-Barreto, Laura Catalina",1,"Undirected"
"Gómez-González, José Eduardo","Morales-Acevedo, Paola",1,"Undirected"
"Reyes-Nidia, Ruth","Gómez-González, José Eduardo",1,"Undirected"
"Reyes-Nidia, Ruth","Ojeda-Joya, Jair N.",1,"Undirected"
"Gómez-González, José Eduardo","Ojeda-Joya, Jair N.",1,"Undirected"
"Lozano-Espitia, Luis Ignacio","Guarín-López, Alexander",1,"Undirected"
